Prov,Con_ACT,Sex,Age,Measure,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
ALL,Null,F,18-19,events,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,18-19,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,20-24,Tx,5,3,3,3,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,20-24,events,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,20-24,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,25-29,Tx,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
ALL,Null,F,25-29,events,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
ALL,Null,F,25-29,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,30-34,Tx,7,7,6,6,6,6,5,4,3,3,2,2,2,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
ALL,Null,F,30-34,events,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
ALL,Null,F,30-34,censored,,,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,35-39,Tx,6,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
ALL,Null,F,35-39,events,,2,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
ALL,Null,F,35-39,censored,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,40-44,Tx,20,15,15,13,11,9,9,9,9,9,9,8,8,6,5,5,5,5,5,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
ALL,Null,F,40-44,events,,3,,1,1,1,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,40-44,censored,,2,,1,1,1,,,,,,,,1,1,,,,,,,,1,1,,1,,,,,,,,,,,,1,,
ALL,Null,F,45-49,Tx,11,10,10,6,5,5,4,3,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,45-49,events,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,45-49,censored,,,,3,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,50-54,Tx,14,14,14,13,12,12,12,10,10,9,9,8,8,8,7,6,6,5,5,3,3,3,3,3,0,0,,,,,,,,,,,,,,
ALL,Null,F,50-54,events,,,,1,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,
ALL,Null,F,50-54,censored,,,,,1,,,2,,1,,1,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,
ALL,Null,F,55-59,Tx,18,15,13,12,10,9,8,8,7,7,6,6,6,6,6,6,5,5,3,2,2,1,0,0,,,,,,,,,,,,,,,,
ALL,Null,F,55-59,events,,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,55-59,censored,,,1,,1,,,,1,,1,,,,,,1,,2,1,,1,1,,,,,,,,,,,,,,,,,
ALL,Null,F,60-64,Tx,11,8,8,7,6,6,6,6,5,5,4,3,3,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
ALL,Null,F,60-64,events,,3,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,60-64,censored,,,,,1,,,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,
ALL,Null,F,65+,Tx,5,5,5,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,
ALL,Null,F,65+,events,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,F,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
ALL,Null,F,ALL,Tx,100,83,79,68,60,57,52,46,41,39,34,31,31,27,24,23,21,20,18,14,12,10,8,6,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,
ALL,Null,F,ALL,events,,14,2,6,3,2,4,2,1,1,4,2,,1,,,1,,,3,1,1,,1,2,,,,,,,,,,,,,,,
ALL,Null,F,ALL,censored,,3,2,5,5,1,1,4,4,1,1,1,,3,3,1,1,1,2,1,1,1,2,1,1,1,1,,,,,,,,,,,1,,
ALL,Null,M,18-19,Tx,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,18-19,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,18-19,censored,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,25-29,Tx,3,3,3,3,2,2,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,25-29,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,25-29,censored,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,30-34,Tx,5,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,
ALL,Null,M,30-34,events,,1,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,30-34,censored,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,35-39,Tx,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,0
ALL,Null,M,35-39,events,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,35-39,censored,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1
ALL,Null,M,40-44,Tx,8,6,6,6,5,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,
ALL,Null,M,40-44,events,,2,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,40-44,censored,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
ALL,Null,M,45-49,Tx,8,7,7,7,5,5,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,
ALL,Null,M,45-49,events,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,45-49,censored,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
ALL,Null,M,50-54,Tx,11,10,10,10,10,9,7,7,7,7,6,6,6,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0
ALL,Null,M,50-54,events,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,50-54,censored,,1,,,,,2,,,,1,,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,,1,
ALL,Null,M,55-59,Tx,13,11,11,10,9,9,9,9,7,7,7,7,7,7,5,4,4,4,4,3,2,1,1,1,1,1,0,0,,,,,,,,,,,,
ALL,Null,M,55-59,events,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,55-59,censored,,2,,1,1,,,,1,,,,,,2,1,,,,1,1,1,,,,,1,,,,,,,,,,,,,
ALL,Null,M,60-64,Tx,16,16,15,15,15,15,13,12,11,10,10,9,8,8,8,7,7,7,7,6,4,3,3,2,2,1,1,1,1,1,1,0,0,,,,,,,
ALL,Null,M,60-64,events,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,60-64,censored,,,1,,,,1,1,1,1,,1,1,,,1,,,,1,2,1,,1,,1,,,,,,1,,,,,,,,
ALL,Null,M,65+,Tx,9,8,8,7,7,7,6,6,6,5,5,5,3,3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,
ALL,Null,M,65+,events,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,65+,censored,,,,,,,,,,,,,2,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,
ALL,Null,M,ALL,Tx,82,74,72,69,63,61,53,50,47,43,40,37,34,32,29,24,23,23,22,19,16,13,13,12,12,11,8,8,6,6,6,5,5,3,3,3,3,3,1,0
ALL,Null,M,ALL,events,,5,1,2,2,1,4,1,1,2,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
ALL,Null,M,ALL,censored,,3,1,1,4,1,4,2,2,2,2,2,3,1,3,5,1,,1,2,3,3,,1,,1,3,,2,,,1,,2,,,,,2,1
ALL,Yes,ALL,18-19,Tx,2,2,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,18-19,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,18-19,censored,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,20-24,Tx,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
ALL,Yes,ALL,20-24,events,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
ALL,Yes,ALL,25-29,Tx,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,25-29,events,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,25-29,censored,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,30-34,Tx,4,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,30-34,events,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,30-34,censored,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,35-39,Tx,19,18,17,15,13,13,12,12,11,10,10,9,8,7,7,7,7,7,5,5,5,5,4,4,3,3,3,2,2,1,1,1,0,0,,,,,,
ALL,Yes,ALL,35-39,events,,,1,1,1,,1,,,1,,1,1,1,,,,,,,,,1,,1,,,1,,,,,,,,,,,,
ALL,Yes,ALL,35-39,censored,,1,,1,1,,,,1,,,,,,,,,,2,,,,,,,,,,,1,,,1,,,,,,,
ALL,Yes,ALL,40-44,Tx,22,21,19,17,16,13,13,11,10,10,8,7,7,7,7,7,7,6,5,5,5,5,5,4,3,3,2,2,2,1,1,0,0,,,,,,,
ALL,Yes,ALL,40-44,events,,1,1,2,1,2,,1,,,,1,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,
ALL,Yes,ALL,40-44,censored,,,1,,,1,,1,1,,2,,,,,,,1,1,,,,,1,,,,,,,,1,,,,,,,,
ALL,Yes,ALL,45-49,Tx,18,16,15,14,13,12,11,10,10,9,9,9,9,9,9,9,8,8,8,7,7,7,5,3,3,3,3,3,2,2,2,2,2,2,1,0,0,,,
ALL,Yes,ALL,45-49,events,,2,,1,,1,1,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,
ALL,Yes,ALL,45-49,censored,,,1,,1,,,1,,1,,,,,,,1,,,1,,,1,1,,,,,,,,,,,1,1,,,,
ALL,Yes,ALL,50-54,Tx,33,29,29,27,20,19,17,16,15,14,13,13,13,13,11,8,8,7,6,6,6,5,5,4,3,3,3,3,3,2,2,1,1,1,1,1,1,1,0,0
ALL,Yes,ALL,50-54,events,,1,,1,4,1,2,,1,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,
ALL,Yes,ALL,50-54,censored,,3,,1,3,,,1,,1,1,,,,1,3,,,,,,1,,,1,,,,,1,,1,,,,,,,1,
ALL,Yes,ALL,55-59,Tx,47,46,42,39,36,31,31,30,30,28,27,26,25,24,23,23,22,17,17,14,13,13,12,9,8,8,7,6,6,6,3,3,3,3,3,1,1,0,0,
ALL,Yes,ALL,55-59,events,,1,2,2,2,1,,1,,,,1,1,,1,,1,2,,1,,,,2,,,,,,,,,,,,,,,,
ALL,Yes,ALL,55-59,censored,,,2,1,1,4,,,,2,1,,,1,,,,3,,2,1,,1,1,1,,1,1,,,3,,,,,2,,1,,
ALL,Yes,ALL,60-64,Tx,27,26,26,25,24,23,23,20,17,15,15,15,15,12,9,9,8,8,7,7,6,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,0,0,,
ALL,Yes,ALL,60-64,events,,,,,1,1,,1,2,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,60-64,censored,,1,,1,,,,2,1,2,,,,2,2,,1,,1,,1,,,1,1,,,1,,,,,,1,,,1,,,
ALL,Yes,ALL,65+,Tx,18,16,15,15,15,15,14,13,11,11,10,9,9,7,6,6,5,5,3,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,
ALL,Yes,ALL,65+,events,,,,,,,,1,2,,,1,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,
ALL,Yes,ALL,65+,censored,,2,1,,,,1,,,,1,,,2,,,,,1,,,,,1,,,,,,1,,,,,,,,,,
ALL,Yes,ALL,ALL,Tx,196,184,173,162,146,135,130,121,113,105,98,94,91,83,75,72,68,61,54,49,45,44,39,30,25,25,23,20,19,14,11,9,8,7,6,3,2,1,0,0
ALL,Yes,ALL,ALL,events,,5,5,7,10,6,4,4,5,1,2,4,2,3,4,,2,3,2,2,1,,3,4,2,,1,1,1,1,,,,,,,,,,
ALL,Yes,ALL,ALL,censored,,7,6,4,6,5,1,5,3,7,5,,1,5,4,3,2,4,5,3,3,1,2,5,3,,1,2,,4,3,2,1,1,1,3,1,1,1,
ALL,Yes,F,18-19,Tx,2,2,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,18-19,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,18-19,censored,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,20-24,Tx,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
ALL,Yes,F,20-24,events,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
ALL,Yes,F,25-29,Tx,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,25-29,events,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,25-29,censored,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,30-34,Tx,4,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
ALL,Yes,F,30-34,events,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,30-34,censored,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,35-39,Tx,7,6,5,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,
ALL,Yes,F,35-39,events,,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,35-39,censored,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
ALL,Yes,F,40-44,Tx,13,13,12,10,9,8,8,6,6,6,5,4,4,4,4,4,4,3,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,
ALL,Yes,F,40-44,events,,,,2,1,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
ALL,Yes,F,40-44,censored,,,1,,,,,1,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,
ALL,Yes,F,45-49,Tx,13,11,10,9,8,8,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,0,0,,,
ALL,Yes,F,45-49,events,,2,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
ALL,Yes,F,45-49,censored,,,1,,1,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,
ALL,Yes,F,50-54,Tx,20,19,19,17,12,11,9,9,8,7,7,7,7,7,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0
ALL,Yes,F,50-54,events,,,,1,3,1,2,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,50-54,censored,,1,,1,2,,,,,1,,,,,1,1,,,,,,,,,1,,,,,1,,,,,,,,,1,
ALL,Yes,F,55-59,Tx,25,24,22,20,19,16,16,16,16,15,14,14,13,12,11,11,10,6,6,6,6,6,6,3,3,3,3,3,3,3,1,1,1,1,1,0,0,,,
ALL,Yes,F,55-59,events,,1,2,2,1,,,,,,,,1,,1,,1,2,,,,,,2,,,,,,,,,,,,,,,,
ALL,Yes,F,55-59,censored,,,,,,3,,,,1,1,,,1,,,,2,,,,,,1,,,,,,,2,,,,,1,,,,
ALL,Yes,F,60-64,Tx,19,19,19,18,17,16,16,14,11,10,10,10,10,7,5,5,5,5,5,5,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,0,0,,
ALL,Yes,F,60-64,events,,,,,1,1,,1,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
ALL,Yes,F,60-64,censored,,,,1,,,,1,1,1,,,,2,2,,,,,,1,,,,1,,,1,,,,,,,,,1,,,
ALL,Yes,F,65+,Tx,9,7,6,6,6,6,5,5,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,
ALL,Yes,F,65+,events,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
ALL,Yes,F,65+,censored,,2,1,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,
ALL,Yes,F,ALL,Tx,116,109,101,92,82,76,72,67,62,56,53,52,50,43,36,35,33,28,26,25,23,23,21,16,13,13,13,12,11,8,6,6,5,5,4,2,1,1,0,0
ALL,Yes,F,ALL,events,,3,4,7,7,3,3,2,3,1,1,1,1,3,3,,1,2,1,1,1,,2,2,1,,,,1,,,,,,,,,,,
ALL,Yes,F,ALL,censored,,4,4,2,3,3,1,3,2,5,2,,1,4,4,1,1,3,1,,1,,,3,2,,,1,,3,2,,1,,1,2,1,,1,
ALL,Yes,M,20-24,Tx,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,20-24,events,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,20-24,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,25-29,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
ALL,Yes,M,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,25-29,censored,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,35-39,Tx,12,12,12,11,9,9,8,8,8,8,8,7,6,6,6,6,6,6,4,4,4,4,3,3,2,2,2,1,1,0,0,,,,,,,,,
ALL,Yes,M,35-39,events,,,,,1,,1,,,,,1,1,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,
ALL,Yes,M,35-39,censored,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,
ALL,Yes,M,40-44,Tx,9,8,7,7,7,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,0,0,,,,,,,
ALL,Yes,M,40-44,events,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
ALL,Yes,M,40-44,censored,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
ALL,Yes,M,45-49,Tx,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,0,0,,,,,,,,,,,,,,,
ALL,Yes,M,45-49,events,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
ALL,Yes,M,45-49,censored,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,
ALL,Yes,M,50-54,Tx,13,10,10,10,8,8,8,7,7,7,6,6,6,6,6,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1,0,0,,,,,,,
ALL,Yes,M,50-54,events,,1,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
ALL,Yes,M,50-54,censored,,2,,,1,,,1,,,1,,,,,2,,,,,,1,,,,,,,,,,1,,,,,,,,
ALL,Yes,M,55-59,Tx,22,22,20,19,17,15,15,14,14,13,13,12,12,12,12,12,12,11,11,8,7,7,6,6,5,5,4,3,3,3,2,2,2,2,2,1,1,0,0,
ALL,Yes,M,55-59,events,,,,,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,55-59,censored,,,2,1,1,1,,,,1,,,,,,,,1,,2,1,,1,,1,,1,1,,,1,,,,,1,,1,,
ALL,Yes,M,60-64,Tx,8,7,7,7,7,7,7,6,6,5,5,5,5,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,,,,,
ALL,Yes,M,60-64,events,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,60-64,censored,,1,,,,,,1,,1,,,,,,,1,,1,,,,,1,,,,,,,,,,1,,,,,,
ALL,Yes,M,65+,Tx,9,9,9,9,9,9,9,8,6,6,5,4,4,3,3,3,2,2,0,0,,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,65+,events,,,,,,,,1,2,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,65+,censored,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
ALL,Yes,M,ALL,Tx,80,75,72,70,64,59,58,54,51,49,45,42,41,40,39,37,35,33,28,24,22,21,18,14,12,12,10,8,8,6,5,3,3,2,2,1,1,0,0,
ALL,Yes,M,ALL,events,,2,1,,3,3,1,2,2,,1,3,1,,1,,1,1,1,1,,,1,2,1,,1,1,,1,,,,,,,,,,
ALL,Yes,M,ALL,censored,,3,2,2,3,2,,2,1,2,3,,,1,,2,1,1,4,3,2,1,2,2,1,,1,1,,1,1,2,,1,,1,,1,,
Atlantic,ALL,ALL,20-24,Tx,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,20-24,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,20-24,censored,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,25-29,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,25-29,censored,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,30-34,Tx,2,2,2,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,30-34,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,30-34,censored,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,35-39,Tx,5,5,5,4,3,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,35-39,events,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,35-39,censored,,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,40-44,Tx,12,10,10,9,8,6,6,6,6,6,6,6,6,5,5,5,5,5,4,3,3,3,3,3,2,1,1,1,1,0,0,,,,,,,,,
Atlantic,ALL,ALL,40-44,events,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,40-44,censored,,,,,,2,,,,,,,,1,,,,,1,1,,,,,1,1,,,,1,,,,,,,,,,
Atlantic,ALL,ALL,45-49,Tx,12,11,10,10,8,8,8,8,8,8,7,6,5,5,3,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,45-49,events,,1,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,45-49,censored,,,1,,1,,,,,,1,,1,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,50-54,Tx,9,9,8,7,6,6,5,5,5,4,4,3,2,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,50-54,events,,,,1,1,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,50-54,censored,,,1,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,55-59,Tx,19,18,15,15,14,14,14,13,12,8,8,6,5,5,5,4,3,3,3,2,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,
Atlantic,ALL,ALL,55-59,events,,,1,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Atlantic,ALL,ALL,55-59,censored,,1,2,,1,,,1,,3,,2,1,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,
Atlantic,ALL,ALL,60-64,Tx,17,15,14,13,10,10,10,9,8,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0
