,Prov,Con_ACT,Sex,Age,Measure,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
480,ALL,No,F,55-59,censored,,4.0,1.0,1.0,3.0,1.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,,2.0,1.0,2.0,1.0,,,2.0,5.0,1.0,3.0,2.0,1.0,1.0,,2.0,,,1.0,,2.0,
481,ALL,No,F,60-64,Tx,95.0,77.0,71.0,66.0,61.0,56.0,52.0,47.0,41.0,34.0,31.0,29.0,26.0,26.0,26.0,24.0,22.0,19.0,17.0,14.0,13.0,12.0,12.0,12.0,10.0,8.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0
482,ALL,No,F,60-64,events,,10.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,
483,ALL,No,F,60-64,censored,,8.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,1.0,1.0,,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,
484,ALL,No,F,65+,Tx,67.0,59.0,54.0,51.0,50.0,49.0,48.0,44.0,40.0,36.0,30.0,27.0,24.0,23.0,17.0,17.0,15.0,14.0,14.0,12.0,12.0,11.0,10.0,6.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0
485,ALL,No,F,65+,events,,5.0,3.0,3.0,,1.0,,3.0,4.0,2.0,5.0,3.0,1.0,1.0,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
486,ALL,No,F,65+,censored,,3.0,2.0,,1.0,,1.0,1.0,,2.0,1.0,,2.0,,4.0,,2.0,1.0,,1.0,,1.0,,3.0,,,2.0,,,1.0,,,,,,1.0,1.0,,,
487,ALL,No,F,ALL,Tx,580.0,507.0,478.0,454.0,415.0,386.0,359.0,331.0,309.0,281.0,255.0,229.0,202.0,188.0,164.0,155.0,141.0,129.0,122.0,108.0,103.0,94.0,86.0,79.0,72.0,64.0,53.0,49.0,37.0,26.0,25.0,22.0,19.0,15.0,13.0,11.0,7.0,6.0,2.0,2.0
488,ALL,No,F,ALL,events,,46.0,15.0,14.0,23.0,15.0,12.0,10.0,11.0,15.0,15.0,16.0,11.0,4.0,4.0,7.0,3.0,3.0,3.0,5.0,2.0,3.0,4.0,1.0,2.0,1.0,,,,1.0,,,,2.0,1.0,,,,,
489,ALL,No,F,ALL,censored,,27.0,14.0,10.0,16.0,14.0,15.0,18.0,11.0,13.0,11.0,10.0,16.0,10.0,20.0,2.0,11.0,9.0,4.0,9.0,3.0,6.0,4.0,6.0,5.0,7.0,11.0,4.0,12.0,10.0,1.0,3.0,3.0,2.0,1.0,2.0,4.0,1.0,4.0,
490,ALL,No,M,20-24,Tx,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
491,ALL,No,M,20-24,events,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
492,ALL,No,M,20-24,censored,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
493,ALL,No,M,25-29,Tx,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
494,ALL,No,M,25-29,events,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,ALL,No,M,25-29,censored,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
496,ALL,No,M,30-34,Tx,17.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,10.0,10.0,10.0,10.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
497,ALL,No,M,30-34,events,,1.0,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
498,ALL,No,M,30-34,censored,,1.0,,,,,,,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,
499,ALL,No,M,35-39,Tx,26.0,25.0,24.0,22.0,19.0,18.0,18.0,17.0,13.0,11.0,10.0,7.0,6.0,6.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,
500,ALL,No,M,35-39,events,,,1.0,,1.0,,,,3.0,1.0,1.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
501,ALL,No,M,35-39,censored,,1.0,,2.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,
502,ALL,No,M,40-44,Tx,36.0,33.0,30.0,27.0,23.0,21.0,21.0,21.0,20.0,18.0,17.0,16.0,13.0,12.0,10.0,8.0,8.0,7.0,6.0,6.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,
503,ALL,No,M,40-44,events,,2.0,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
504,ALL,No,M,40-44,censored,,1.0,2.0,2.0,2.0,1.0,,,,1.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,,2.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,
505,ALL,No,M,45-49,Tx,59.0,51.0,49.0,46.0,41.0,36.0,35.0,30.0,28.0,28.0,26.0,25.0,22.0,22.0,17.0,16.0,14.0,13.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,,,
506,ALL,No,M,45-49,events,,4.0,,2.0,1.0,5.0,,4.0,,,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
507,ALL,No,M,45-49,censored,,4.0,2.0,1.0,4.0,,1.0,1.0,2.0,,,1.0,2.0,,4.0,,2.0,,2.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,
508,ALL,No,M,50-54,Tx,79.0,71.0,65.0,61.0,60.0,56.0,54.0,50.0,46.0,43.0,41.0,38.0,36.0,32.0,29.0,27.0,26.0,26.0,24.0,23.0,21.0,21.0,19.0,18.0,18.0,16.0,15.0,12.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,5.0,3.0,1.0,0.0
509,ALL,No,M,50-54,events,,5.0,2.0,1.0,,4.0,,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
510,ALL,No,M,50-54,censored,,3.0,4.0,3.0,1.0,,2.0,3.0,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,,2.0,1.0,1.0,,1.0,1.0,,2.0,1.0,3.0,1.0,,2.0,,,,,1.0,2.0,2.0,2.0,1.0
511,ALL,No,M,55-59,Tx,109.0,99.0,94.0,89.0,85.0,80.0,74.0,66.0,62.0,55.0,52.0,48.0,45.0,44.0,40.0,37.0,34.0,31.0,30.0,28.0,28.0,27.0,27.0,26.0,23.0,20.0,19.0,18.0,14.0,11.0,7.0,6.0,5.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0
512,ALL,No,M,55-59,events,,8.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,,,,1.0,2.0,,,,1.0,,1.0,,,,,,,,
513,ALL,No,M,55-59,censored,,2.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,,1.0,,1.0,1.0,1.0,1.0,1.0,
514,ALL,No,M,60-64,Tx,87.0,73.0,68.0,66.0,60.0,58.0,56.0,51.0,47.0,42.0,34.0,28.0,26.0,26.0,24.0,21.0,19.0,18.0,15.0,14.0,13.0,11.0,9.0,9.0,9.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,
515,ALL,No,M,60-64,events,,8.0,,2.0,2.0,2.0,,3.0,3.0,3.0,5.0,4.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,
516,ALL,No,M,60-64,censored,,6.0,5.0,,4.0,,2.0,2.0,1.0,2.0,3.0,2.0,,,2.0,2.0,1.0,,3.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,
517,ALL,No,M,65+,Tx,61.0,53.0,49.0,44.0,39.0,37.0,34.0,29.0,27.0,25.0,22.0,18.0,13.0,12.0,11.0,11.0,10.0,9.0,9.0,8.0,7.0,7.0,6.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
518,ALL,No,M,65+,events,,4.0,3.0,4.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
519,ALL,No,M,65+,censored,,4.0,1.0,1.0,3.0,1.0,,,,,1.0,3.0,4.0,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,,,,
520,ALL,No,M,ALL,Tx,483.0,428.0,402.0,376.0,348.0,326.0,311.0,283.0,258.0,236.0,215.0,193.0,173.0,165.0,145.0,133.0,124.0,115.0,104.0,97.0,90.0,86.0,79.0,74.0,68.0,58.0,55.0,46.0,36.0,32.0,24.0,22.0,20.0,19.0,17.0,11.0,8.0,4.0,1.0,0.0
521,ALL,No,M,ALL,events,,32.0,8.0,12.0,10.0,16.0,6.0,17.0,14.0,12.0,16.0,13.0,8.0,4.0,7.0,6.0,3.0,6.0,2.0,2.0,2.0,,1.0,2.0,1.0,4.0,,2.0,1.0,1.0,,1.0,,,,,,,,
522,ALL,No,M,ALL,censored,,23.0,18.0,14.0,18.0,6.0,9.0,11.0,11.0,10.0,5.0,9.0,12.0,4.0,13.0,6.0,6.0,3.0,9.0,5.0,5.0,4.0,6.0,3.0,5.0,6.0,3.0,7.0,9.0,3.0,8.0,1.0,2.0,1.0,2.0,6.0,3.0,4.0,3.0,1.0
523,ALL,Null,ALL,18-19,Tx,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
524,ALL,Null,ALL,18-19,events,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,ALL,Null,ALL,18-19,censored,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
526,ALL,Null,ALL,20-24,Tx,5.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,ALL,Null,ALL,20-24,events,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,ALL,Null,ALL,20-24,censored,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,ALL,Null,ALL,25-29,Tx,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
530,ALL,Null,ALL,25-29,events,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
531,ALL,Null,ALL,25-29,censored,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,ALL,Null,ALL,30-34,Tx,12.0,11.0,10.0,9.0,8.0,8.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
533,ALL,Null,ALL,30-34,events,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
534,ALL,Null,ALL,30-34,censored,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
535,ALL,Null,ALL,35-39,Tx,13.0,11.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0
536,ALL,Null,ALL,35-39,events,,2.0,2.0,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
537,ALL,Null,ALL,35-39,censored,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0
538,ALL,Null,ALL,40-44,Tx,28.0,21.0,21.0,19.0,16.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
539,ALL,Null,ALL,40-44,events,,5.0,,1.0,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
540,ALL,Null,ALL,40-44,censored,,2.0,,1.0,1.0,2.0,,,,,,,,2.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,
541,ALL,Null,ALL,45-49,Tx,19.0,17.0,17.0,13.0,10.0,10.0,8.0,7.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,
542,ALL,Null,ALL,45-49,events,,2.0,,1.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,ALL,Null,ALL,45-49,censored,,,,3.0,2.0,,,1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
544,ALL,Null,ALL,50-54,Tx,25.0,24.0,24.0,23.0,22.0,21.0,19.0,17.0,17.0,16.0,15.0,14.0,14.0,13.0,12.0,10.0,9.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
545,ALL,Null,ALL,50-54,events,,,,1.0,,1.0,,,,,,,,1.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,
546,ALL,Null,ALL,50-54,censored,,1.0,,,1.0,,2.0,2.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,
547,ALL,Null,ALL,55-59,Tx,31.0,26.0,24.0,22.0,19.0,18.0,17.0,17.0,14.0,14.0,13.0,13.0,13.0,13.0,11.0,10.0,9.0,9.0,7.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
548,ALL,Null,ALL,55-59,events,,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,ALL,Null,ALL,55-59,censored,,2.0,1.0,1.0,2.0,,,,2.0,,1.0,,,,2.0,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,
550,ALL,Null,ALL,60-64,Tx,27.0,24.0,23.0,22.0,21.0,21.0,19.0,18.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,
551,ALL,Null,ALL,60-64,events,,3.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,ALL,Null,ALL,60-64,censored,,,1.0,,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,3.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,
553,ALL,Null,ALL,65+,Tx,14.0,13.0,13.0,11.0,11.0,11.0,9.0,7.0,7.0,6.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,
554,ALL,Null,ALL,65+,events,,1.0,,2.0,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,ALL,Null,ALL,65+,censored,,,,,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
556,ALL,Null,ALL,ALL,Tx,182.0,157.0,151.0,137.0,123.0,118.0,105.0,96.0,88.0,82.0,74.0,68.0,65.0,59.0,53.0,47.0,44.0,43.0,40.0,33.0,28.0,23.0,21.0,18.0,15.0,13.0,9.0,9.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,1.0,0.0
557,ALL,Null,ALL,ALL,events,,19.0,3.0,8.0,5.0,3.0,8.0,3.0,2.0,3.0,5.0,3.0,,2.0,,,1.0,,,4.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,
558,ALL,Null,ALL,ALL,censored,,6.0,3.0,6.0,9.0,2.0,5.0,6.0,6.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,,2.0,,,1.0,,2.0,,,,1.0,2.0,1.0
559,ALL,Null,F,18-19,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,ALL,Null,F,18-19,events,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,ALL,Null,F,18-19,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,ALL,Null,F,20-24,Tx,5.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,ALL,Null,F,20-24,events,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,ALL,Null,F,20-24,censored,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,ALL,Null,F,25-29,Tx,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
566,ALL,Null,F,25-29,events,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
567,ALL,Null,F,25-29,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,ALL,Null,F,30-34,Tx,7.0,7.0,6.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
569,ALL,Null,F,30-34,events,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
570,ALL,Null,F,30-34,censored,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
571,ALL,Null,F,35-39,Tx,6.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
572,ALL,Null,F,35-39,events,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
573,ALL,Null,F,35-39,censored,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,ALL,Null,F,40-44,Tx,20.0,15.0,15.0,13.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
575,ALL,Null,F,40-44,events,,3.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
576,ALL,Null,F,40-44,censored,,2.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,
577,ALL,Null,F,45-49,Tx,11.0,10.0,10.0,6.0,5.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,ALL,Null,F,45-49,events,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,ALL,Null,F,45-49,censored,,,,3.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,ALL,Null,F,50-54,Tx,14.0,14.0,14.0,13.0,12.0,12.0,12.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,
581,ALL,Null,F,50-54,events,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,
582,ALL,Null,F,50-54,censored,,,,,1.0,,,2.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
583,ALL,Null,F,55-59,Tx,18.0,15.0,13.0,12.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,
584,ALL,Null,F,55-59,events,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,ALL,Null,F,55-59,censored,,,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
586,ALL,Null,F,60-64,Tx,11.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
587,ALL,Null,F,60-64,events,,3.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,ALL,Null,F,60-64,censored,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
589,ALL,Null,F,65+,Tx,5.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
590,ALL,Null,F,65+,events,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,ALL,Null,F,65+,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
592,ALL,Null,F,ALL,Tx,100.0,83.0,79.0,68.0,60.0,57.0,52.0,46.0,41.0,39.0,34.0,31.0,31.0,27.0,24.0,23.0,21.0,20.0,18.0,14.0,12.0,10.0,8.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
593,ALL,Null,F,ALL,events,,14.0,2.0,6.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,2.0,,1.0,,,1.0,,,3.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,
594,ALL,Null,F,ALL,censored,,3.0,2.0,5.0,5.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,
595,ALL,Null,M,18-19,Tx,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
596,ALL,Null,M,18-19,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,ALL,Null,M,18-19,censored,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
598,ALL,Null,M,25-29,Tx,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,ALL,Null,M,25-29,events,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,ALL,Null,M,25-29,censored,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,ALL,Null,M,30-34,Tx,5.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
602,ALL,Null,M,30-34,events,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
603,ALL,Null,M,30-34,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,ALL,Null,M,35-39,Tx,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0
605,ALL,Null,M,35-39,events,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,ALL,Null,M,35-39,censored,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0
607,ALL,Null,M,40-44,Tx,8.0,6.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
608,ALL,Null,M,40-44,events,,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
